creator,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,observacoes_pesquisa,confianca_preenchimento
Paulo Whitaker,Santa Catarina,Universidade para o Desenvolvimento do Estado de Santa Catarina (Udesc/SC),formação concluída em 1984,https://enciclopedia.itaucultural.org.br/pessoas/2240-paulo-whitaker | https://www.referenciagaleria.com.br/artista/paulo-whitaker/,https://enciclopedia.itaucultural.org.br/pessoas/2240-paulo-whitaker | https://www.referenciagaleria.com.br/artista/paulo-whitaker/,https://enciclopedia.itaucultural.org.br/pessoas/2240-paulo-whitaker | https://www.referenciagaleria.com.br/artista/paulo-whitaker/,,alta
Sérgio Sister,"São Paulo, Brasil; São Paulo, Brasil",Fundação Armando Álvares Penteado (FAAP); ateliê de Ernestina Karman,1964–1967; 1965–1967,https://enciclopedia.itaucultural.org.br/pessoas/1045-sergio-sister,https://enciclopedia.itaucultural.org.br/pessoas/1045-sergio-sister,https://enciclopedia.itaucultural.org.br/pessoas/1045-sergio-sister,,alta
Carlos Zilio,Rio de Janeiro,Instituto de Belas Artes do Rio de Janeiro,c. 1960s,Wikipédia,Wikipédia,Wikipédia,identificado como artista; período aproximado,media
Caetano de Almeida,"São Paulo, Brasil; São Paulo, Brasil",Fundação Armando Álvares Penteado (FAAP); ateliês de gravura da Pinacoteca do Estado de São Paulo,1983–1988; c. 1984,https://www.guiadasartes.com.br/caetano-de-almeida; https://enciclopedia.itaucultural.org.br/pessoas/2090-caetano-de-almeida,https://www.guiadasartes.com.br/caetano-de-almeida,https://www.guiadasartes.com.br/caetano-de-almeida,Formação formal na FAAP e complementação nos ateliês de gravura da Pinacoteca.,alta
Fernando Lindote,Sul do Brasil,formação inicial como aluno do cartunista Renato Canini,início da trajetória artística; fins dos anos 1970,https://museudeartedorio.org.br/programacao/fernando-lindote-trair-macunaima-e-avacalhar-o-papagaio/ | https://www.iea.usp.br/pessoas/pasta-pessoaf/fernando-lindote | https://fvcb.com.br/acervo/artista/fernando-lindote/,https://museudeartedorio.org.br/programacao/fernando-lindote-trair-macunaima-e-avacalhar-o-papagaio/,https://www.iea.usp.br/pessoas/pasta-pessoaf/fernando-lindote | https://fvcb.com.br/acervo/artista/fernando-lindote/,A fonte do MAR explicita a condição de aluno de Renato Canini; não foi localizada instituição formal de artes nas fontes consultadas.,media
Marina Saleme,"Montreaux, Suíça; São Paulo, Brasil; São Paulo, Brasil",curso de desenho em Montreaux; Fundação Armando Álvares Penteado (FAAP); curso de desenho e pintura com Carlos Fajardo,1976; 1977–1982; 1981,https://www.luisastrina.com.br/artists/84-marina-saleme/biography/ ; https://www.escritoriodearte.com/artista/marina-saleme,https://www.luisastrina.com.br/artists/84-marina-saleme/biography/ ; https://www.escritoriodearte.com/artista/marina-saleme,https://www.luisastrina.com.br/artists/84-marina-saleme/biography/ ; https://www.escritoriodearte.com/artista/marina-saleme,"combina curso livre, licenciatura e formação complementar",alta
Camille Kachani,Brasil,formação em fotografia e pintura; estudos em Economia e História (instituições não identificadas na fonte),,https://pt.wikipedia.org/wiki/Camille_Kachani,https://pt.wikipedia.org/wiki/Camille_Kachani,,"As áreas de formação aparecem na fonte, mas sem nome de instituição; mantida redação conservadora.",baixa
Bruno Dunley,"São Paulo, Brasil; São Paulo, Brasil",Faculdade Santa Marcelina; Senac São Paulo,s.d.; s.d.,https://dasartes.com.br/artistas/bruno-dunley/,https://dasartes.com.br/artistas/bruno-dunley/,https://dasartes.com.br/artistas/bruno-dunley/,"As fontes vistas confirmam as instituições, mas não trazem no trecho datas precisas de frequência.",media
Artur Barrio,"Rio de Janeiro, Brasil",Escola de Belas Artes,1967,https://pt.wikipedia.org/wiki/Artur_Barrio,https://pt.wikipedia.org/wiki/Artur_Barrio,https://pt.wikipedia.org/wiki/Artur_Barrio,A fonte consultada não especifica no trecho o nome institucional completo da escola.,media
Rodrigo Bivar,São Paulo,Fundação Armando Álvares Penteado (FAAP),,https://www.premiopipa.com/pag/artistas/rodrigo-bivar/,https://www.premiopipa.com/pag/artistas/rodrigo-bivar/,,"A fonte informa graduação em artes plásticas pela FAAP, sem detalhar as datas.",alta
Zed Nesti,"São Paulo, Brasil",Fundação Armando Álvares Penteado (FAAP),s.d.,https://www.youtube.com/zednestistudio/videos,https://www.youtube.com/zednestistudio/videos,https://www.youtube.com/zednestistudio/videos,fonte pública de perfil do artista informa curso na FAAP; datas não localizadas,media
Vânia Mignone,Campinas (SP),UNICAMP; PUC-Campinas,formação concluída em 1989,https://www.guiadasartes.com.br/vania-mignone/obras-e-biografia,https://www.guiadasartes.com.br/vania-mignone/obras-e-biografia,https://www.guiadasartes.com.br/vania-mignone/obras-e-biografia,A fonte informa Artes Plásticas na UNICAMP e Publicidade na PUC-Campinas.,alta
Germana Monte-Mór,"Rio de Janeiro, Brasil; São Paulo, Brasil; São Paulo, Brasil",Instituto de Filosofia e Ciências Sociais da UFRJ; Fundação Armando Álvares Penteado (FAAP); Escola de Comunicações e Artes da USP,1982; 1989; 2002,https://galerialeme.com/artist/germana-monte-mor/ ; https://galeriaestacao.com.br/documents/portfolio_95_f22dd-portfolio-germana-monte-mor-%28portugues%29-.pdf,https://galerialeme.com/artist/germana-monte-mor/ ; https://galeriaestacao.com.br/documents/portfolio_95_f22dd-portfolio-germana-monte-mor-%28portugues%29-.pdf,https://galerialeme.com/artist/germana-monte-mor/ ; https://galeriaestacao.com.br/documents/portfolio_95_f22dd-portfolio-germana-monte-mor-%28portugues%29-.pdf,fontes também registram estudo de gravura na Escolinha de Arte do Brasil,alta
Gerhard Richter,"Dresden, Alemanha; Düsseldorf, Alemanha",Dresden Academy of Fine Arts; Kunstakademie Düsseldorf,1951–1956; 1961–1963,https://gerhard-richter-archiv.skd.museum/en/about-us/gerhard-richter/,https://gerhard-richter-archiv.skd.museum/en/about-us/gerhard-richter/,https://gerhard-richter-archiv.skd.museum/en/about-us/gerhard-richter/,,alta
Alzira Fragoso,,,,,,,biografia localizada; formação não localizada com segurança,
José Carlos Martinat,"Lima, Peru",Pontificia Universidad Católica del Perú,1990s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,media
Renata Pedrosa,São Paulo,Pontifícia Universidade Católica de São Paulo (PUC-SP); Escola de Comunicações e Artes da Universidade de São Paulo (ECA-USP),2004; 2011 (qualificação de doutorado em Poéticas Visuais),https://www.escavador.com/sobre/3341664/renata-pedrosa | https://teresaberlinck.com.br/curriculo/,https://www.escavador.com/sobre/3341664/renata-pedrosa,https://www.escavador.com/sobre/3341664/renata-pedrosa,A fonte recuperada é de currículo acadêmico; informação artística complementar não especifica outras formações.,media
Helen Faganello,Penápolis; São Paulo,"Faculdade de Ciências e Letras de Penápolis; formação continuada com Rodrigo Naves, Carlos Fajardo, Leda Catunda, Sérgio Romagnolo e Ana Tavares; grupo de estudos Ateliê Fidalga",formação artística continuada a partir de 1997,https://www.catalogodasartes.com.br/artista/Helen%20Faganello/ | https://helenfaganello.blogspot.com/p/curriculo.html,https://www.catalogodasartes.com.br/artista/Helen%20Faganello/ | https://helenfaganello.blogspot.com/p/curriculo.html,https://www.catalogodasartes.com.br/artista/Helen%20Faganello/,A formação listada é composta por graduação e formação continuada com artistas/professores.,media
Manoel Veiga,Recife; Paris; Nova York,Escolinha de Arte do Recife; Escola Nacional Superior de Belas-Artes; Escola do Louvre; workshop em Nova York,1994-1995; 1997; 1998,https://www.sp.senac.br/sites/artenosenac/Manoel-Veiga_.html | https://www.catalogodasartes.com.br/artista/Manoel%20Veiga/,https://www.sp.senac.br/sites/artenosenac/Manoel-Veiga_.html | https://www.catalogodasartes.com.br/artista/Manoel%20Veiga/,https://www.sp.senac.br/sites/artenosenac/Manoel-Veiga_.html,As fontes também mencionam orientação de Gil Vicente entre 1995 e 1997.,alta
Mariana Manhães,Niterói; Rio de Janeiro,Universidade Federal Fluminense (UFF); Escola de Artes Visuais do Parque Lage; Universidade Federal do Rio de Janeiro (UFRJ),Psicologia concluída em 2001; formação artística 1997-2005; mestrado concluído em 2012,https://eavparquelage.rj.gov.br/professor/mariana-manhaes | https://www.catalogodasartes.com.br/artista/Mariana%20Manhaes%20%20-%20Mariana%20Manh%EF%BF%BDes%20/,https://eavparquelage.rj.gov.br/professor/mariana-manhaes | https://www.catalogodasartes.com.br/artista/Mariana%20Manhaes%20%20-%20Mariana%20Manh%EF%BF%BDes%20/,https://eavparquelage.rj.gov.br/professor/mariana-manhaes | https://www.catalogodasartes.com.br/artista/Mariana%20Manhaes%20%20-%20Mariana%20Manh%EF%BF%BDes%20/,A cronologia da formação artística e acadêmica aparece com clareza nas fontes.,alta
Luiz Martins,São Paulo,Faculdade Belas Artes de São Paulo,,https://www.galeriabase.com.br/luiz-martins | https://artbluumbrazil.com/luiz-martins/,https://www.galeriabase.com.br/luiz-martins | https://artbluumbrazil.com/luiz-martins/,,"As fontes confirmam graduação em artes visuais, sem ano de conclusão.",alta
Jaime Prades,Ouro Preto; São Paulo,Festival de Inverno de Ouro Preto; Ateliê 76; Escola Contemporânea de Artes,1973; 1975; 1977-1978,https://jaimeprades.art.br/?area=5&item=59&lang=_en&sec=404 | https://zupi.space/acervo/artistas/jaime-prades/,https://jaimeprades.art.br/?area=5&item=59&lang=_en&sec=404 | https://zupi.space/acervo/artistas/jaime-prades/,https://jaimeprades.art.br/?area=5&item=59&lang=_en&sec=404 | https://zupi.space/acervo/artistas/jaime-prades/,"Inclui cursos livres e formação não universitária, como descritos pelo próprio artista.",alta
Ismênia Coaracy,São Paulo,"Escola de Artesanato do Museu de Arte Moderna de São Paulo (MAM/SP); estudos com Wolfgang Pfeiffer, Paulo Duarte e André Osze",1956-1958; 1956; c.1960,https://enciclopedia.itaucultural.org.br/pessoas/2135-ismenia-coaracy | https://acervo.margs.rs.gov.br/artistas/ismenia-coaracy/,https://enciclopedia.itaucultural.org.br/pessoas/2135-ismenia-coaracy | https://acervo.margs.rs.gov.br/artistas/ismenia-coaracy/,https://enciclopedia.itaucultural.org.br/pessoas/2135-ismenia-coaracy | https://acervo.margs.rs.gov.br/artistas/ismenia-coaracy/,A fonte também indica início autodidata por volta de 1946.,alta
Egon Schiele,"Viena, Áustria",Akademie der bildenden Künste Wien,1906–1909,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,,alta
Luis Enrique Silvestre Guerra,Havana,Instituto Superior de Diseño Industrial; Instituto Superior de Arte (ISA),1984-1986; 1988-1993,https://luisenriquesilvestre.wixsite.com/artist/about | https://www.zapatagallery.com/artists/luis-enrique-silvestre-guerra,https://luisenriquesilvestre.wixsite.com/artist/about,https://luisenriquesilvestre.wixsite.com/artist/about,,alta
Alexandre Cruz (Sesper),,,,,,,"biografia localizada em fontes institucionais, sem dados de formação formal",
Lucy Citti Ferreira,Le Havre; Paris; São Paulo,Escola de Belas Artes do Havre; École des Beaux-Arts de Paris; estudos com Lasar Segall,1930; 1932-1934; 1935-1946,https://pt.wikipedia.org/wiki/Lucy_Citti_Ferreira | https://www.escritoriodearte.com/artista/lucy-citti-ferreira,https://pt.wikipedia.org/wiki/Lucy_Citti_Ferreira | https://www.escritoriodearte.com/artista/lucy-citti-ferreira,https://pt.wikipedia.org/wiki/Lucy_Citti_Ferreira | https://www.escritoriodearte.com/artista/lucy-citti-ferreira,,alta
Nilda Neves,Brumado (BA),curso de contabilidade (instituição não identificada na fonte),sem data precisa,https://www.catalogodasartes.com.br/artista/Nilda%20Neves/ | https://www.centralgaleria.com/exposicoes/nildaneves-visagens,https://www.catalogodasartes.com.br/artista/Nilda%20Neves/,,"A fonte confirma estudo de contabilidade, mas não informa a instituição.",baixa
Autoria não identificada,,,,,,,autoria não identificada no próprio registro,
Donald Urquhart,Edimburgo; Madri,Edinburgh College of Art; Royal Academy Study Course at the Prado Museum,1978-1982; 1982,https://www.royalscottishacademy.org/exhibitions/210-donald-urquhart-rsa/overview | https://pssauk.org/public-sculpture-of-britain/biography/urquhart-donald/ | https://www.royalscottishacademy.org/publications/118-donald-urquhart-sketchbook/,https://www.royalscottishacademy.org/exhibitions/210-donald-urquhart-rsa/overview | https://pssauk.org/public-sculpture-of-britain/biography/urquhart-donald/,https://pssauk.org/public-sculpture-of-britain/biography/urquhart-donald/ | https://www.royalscottishacademy.org/publications/118-donald-urquhart-sketchbook/,,alta
Ana Teixeira,"São Paulo, Brasil",Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo,1980s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,media
Francisco Biojone,Campinas,início de estudos de pintura em Campinas,a partir de 1950,https://www.iar.unicamp.br/vanguardasemcampinas/catalogos/downloads/individuais/biojone.pdf | https://acervo.margs.rs.gov.br/artistas/francisco-biojone/,https://www.iar.unicamp.br/vanguardasemcampinas/catalogos/downloads/individuais/biojone.pdf,https://www.iar.unicamp.br/vanguardasemcampinas/catalogos/downloads/individuais/biojone.pdf | https://acervo.margs.rs.gov.br/artistas/francisco-biojone/,As fontes localizadas não identificam escola ou mestre específico; mantida formulação conservadora.,baixa
Carlito Contini,"São Paulo, Brasil",Fundação Armando Alvares Penteado,,place_of_birth_tiered_dataset.csv,place_of_birth_tiered_dataset.csv,,dados recuperados de base auxiliar; datas não localizadas,alta
Gabriela Albergaria,"Porto, Portugal",Faculdade de Belas-Artes da Universidade do Porto,,https://pt.wikipedia.org/wiki/Gabriela_Albergaria,https://pt.wikipedia.org/wiki/Gabriela_Albergaria,,licenciatura em pintura; datas não localizadas,media
Osvaldo Carvalho,Rio de Janeiro; Niterói; São Paulo,EAV-Parque Lage; Oficina de Escultura do Museu do Ingá; ECA-USP,sem datas exatas nas fontes; mestrado concluído antes da atuação documentada em 2000,https://www.catalogodasartes.com.br/artista/Osvaldo%20Carvalho/ | https://zbgaleriadearte.com.br/artista/osvaldo-carvalho/ | https://galeriadearte.acervos.ufsc.br/os-artistas/osvaldo-carvalho/,https://www.catalogodasartes.com.br/artista/Osvaldo%20Carvalho/ | https://zbgaleriadearte.com.br/artista/osvaldo-carvalho/ | https://galeriadearte.acervos.ufsc.br/os-artistas/osvaldo-carvalho/,https://www.catalogodasartes.com.br/artista/Osvaldo%20Carvalho/ | https://zbgaleriadearte.com.br/artista/osvaldo-carvalho/,"As fontes convergem em estudos no Parque Lage e Museu do Ingá, além do título de mestre em Poéticas Visuais pela ECA-USP.",alta
Moisés Patrício,São Paulo,Escola de Comunicações e Artes da Universidade de São Paulo (ECA-USP),,https://galeriaestacao.com.br/documents/portfolio_100_df714-portfolio-moises-patricio-%28portugues%29-.pdf | https://amlatina.contemporaryand.com/pt/people/moises-patricio/0/ | https://acervo.macrs.rs.gov.br/artistas-macrs/moises-patricio/,https://galeriaestacao.com.br/documents/portfolio_100_df714-portfolio-moises-patricio-%28portugues%29-.pdf | https://amlatina.contemporaryand.com/pt/people/moises-patricio/0/ | https://acervo.macrs.rs.gov.br/artistas-macrs/moises-patricio/,,"As fontes consultadas confirmam a formação na ECA-USP, mas não trazem cronologia detalhada.",alta
Teresa Berlinck,São Paulo,Faculdade Santa Marcelina (FASM),mestrado concluído em 2006,https://teresaberlinck.com.br/curriculo/,https://teresaberlinck.com.br/curriculo/,https://teresaberlinck.com.br/curriculo/,"A página consultada só explicita o mestrado em Produção, Teoria e Crítica em Artes Visuais.",media
Joaquim Manuel da Rocha,"Lisboa, Portugal",Casa Pia / formação com João Glama,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,formação pouco documentada; registro mantido em nível conservador,baixa
Augusto Rodrigues Duarte,Rio de Janeiro; Paris,Academia Imperial de Belas Artes; Escola Superior de Belas Artes,matrícula em 1866; aperfeiçoamento em Paris entre 1874 e 1879,https://pt.wikipedia.org/wiki/Augusto_Rodrigues_Duarte,https://pt.wikipedia.org/wiki/Augusto_Rodrigues_Duarte,https://pt.wikipedia.org/wiki/Augusto_Rodrigues_Duarte,A fonte indica também estudos com Léon Gérôme em Paris.,alta
José Júlio de Sousa Pinto,"Porto, Portugal; Paris, França",Academia Portuense de Belas Artes; École des Beaux-Arts,1870s; 1880–1883,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,,media
