Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth
Khalil Charif,Brazil,Parsons School | New York University | Escola de Artes Visuais do Parque Lage | Pontifícia Universidade Católica do Rio de Janeiro,,Rio de Janeiro,,,male,FILE Festival,médio,"A fonte distingue estudos no fim dos anos 1990, formação posterior no Parque Lage e especialização na PUC-Rio.",7,,
Kian Hossein,Iran,Qazvin Islamic Azad University (QIAU),,,,,male,FILE Festival; site oficial do artista,média,,lote_26,,
Kim Laughton,People's Republic of China,,,,,,,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada,lote_26; lote_32,,
Kim Strandli,Norway,The Animation Workshop,,,,,male,FILE Festival; site oficial do artista,média,,lote_26,,
Kirokaze,Peru,,,Lima,,,male,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada,lote_26; lote_32,,
Klasien Van De Zandschulp,Netherlands,Hogeschool Arnhem en Nijmegen | Hogeschool van Utrecht,,,,,female,CV (Mediamatic) — Klasien van de Zandschulp,alto,CV público lista formação em Communicatie en Multimediadesign na Hogeschool Arnhem en Nijmegen e estudos em Comunicação na Hogeschool van Utrecht.,lote_26; lote_32,,
Kristin McWharter,United States,"Maryland Institute College of Art; University of California, Los Angeles (UCLA)",,,,,female,School of the Art Institute of Chicago; UCLA Design Media Arts,alta,,lote_26,,
Krystal Li,United States,Pratt Institute,,,,,female,Pratt Shows 2020,alto,Página oficial do Pratt Shows explicita BFA em Interactive Arts no Pratt Institute.,15,,
Lama Kadri,Lebanon,American University of Sharjah,,,,,,,,,,,
Lara Genovese,Italy,,,,,,female,,,"Biografias consultadas informam formação em arquitetura/design, mas sem instituição nomeada com segurança; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada",lote_26; lote_32,,
Laura Højberg Kunov,Kingdom of Denmark,The Animation Workshop,,,,,female,CV da artista,média,CV autoral indica projeto de bacharelado realizado na The Animation Workshop.,lote_26,,
Laura Leppert,Germany,Academy of Fine Arts Munich,,,,,female,FILE Festival; Urbane Künste Ruhr,média,,lote_26,,
Laura Schneider,United States,New York University (NYU); City College of New York,,,,,female,site oficial da artista; Research Kitchens NYU Abu Dhabi,alta,,lote_26,,
Laura Tack,Belgium,"Royal Academy of Fine Arts, Ghent",,,,,female,Q-O2,alto,"Fonte institucional informa BFA e MFA pela Royal Academy of Fine Arts, Ghent.",,,
Laurel Beckman,United States,California Institute of the Arts,,,,,male,AD&A Museum / UC Santa Barbara,alto,Fonte institucional informa Master of Fine Arts pela California Institute of the Arts.,,,
Lauren Dimaya,United States,Pratt Institute,,,,,female,FILE Festival,alto,Biografia do FILE informa BFA em Digital Arts com concentração em Interactive Arts.,,,
Lauren Fenton,United States,University of Southern California (USC); Swarthmore College,,,,,female,USC World Building Media Lab; CV público,alta,,lote_26,,
Lawrence Malstaf,Belgium,"Henry van de Velde Institute, Antwerp",,Bruges,,,male,Frankfurter Kunstverein; FILE Festival,média,,lote_26,,
Leandro Angare,Brazil,Seneca College; Universidade Estadual de Campinas (UNICAMP),,,,,male,https://archive.file.org.br/participantes/leandro-angare/,alta,,lote_27,,
Lee Dror,Israel,Bezalel Academy of Arts and Design,,,,,female,https://archive.file.org.br/participantes/lee-dror/; https://leedror.com/about,alta,,lote_27,,
Leila Santiago,Brazil,Universidade de São Paulo (USP); School of Visual Arts,,Rio de Janeiro,,,female,https://archive.file.org.br/participantes/leila-santiago/,alta,,lote_27,,
Leno Veras,Brazil,Universidade de Brasília; Universidad de Salamanca; Universidad Nacional de las Artes; Universidade Federal do Rio de Janeiro; University of London (Warburg Institute),,,,,male,https://www.escavador.com/sobre/4984006/leno-veras-de-carvalho; https://www.premiopipa.com/leno-veras/,média,Dados acadêmicos compilados em perfil espelhado de currículo; preenchimento mantido com cautela.,lote_27,,
Leonardo Crescenti,Brazil,Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo,,São Paulo,,,male,Itaú Cultural | Videobrasil,alto,,,,
Lilian Döring,Brazil,Centro Federal de Educação Tecnológica do Paraná | Escola de Belas Artes do Paraná,,,,,female,FILE Festival,médio,,5,,
Liu Chang,,New York University Tisch School of the Arts (ITP); Pratt Institute,,,,,,https://liuchang.work/about,alta,,lote_27,,
Liu Sha,People's Republic of China,,,,,,female,,,"Resultados localizados remetem majoritariamente a homônimos, sem desambiguação segura para a participante do FILE; mantido em branco. | revisto no lote_32: sem desambiguação segura",lote_27; lote_32,,
Lorenzo Romagnoli,Italy,Delft University of Technology (TU Delft),,,,,male,https://www.ciid.dk/community/lorenzo-romagnoli,alta,,lote_27,,
Lucas Durkheim,France,"Gobelins, l'école de l'image; California Institute of the Arts (CalArts)",,,,,male,https://lucasdurkheim.com/index.php/contacts/; https://vimeo.com/201274584,alta,,lote_27,,
Lucas Morais,Brazil,,,,,,male,,,Biografia do FILE e fontes abertas consultadas não nomeiam instituição de ensino; mantido em branco. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada,lote_27; lote_33,,
Lucie Prigent,France,École Georges Méliès,,,,,female,https://archive.file.org.br/participantes/lucie-prigent/; https://vimeo.com/lucieprigent,média,Página do FILE lista afiliação escolar e portfólio autoral informa graduação na École Georges Méliès.,lote_27,,
Lucila Mayol,Argentina,KMD/UiB (University of Bergen); Universidad Nacional de las Artes (UNA); ENERC,,,,,female,https://www.hiap.fi/resident/lucila-mayol/,alta,,lote_27,,
Ludmila Rodrigues,Brazil,"Universidade Federal do Rio de Janeiro | Royal Academy of Art, The Hague (KABK) | PXL-MAD School of Arts",,Rio de Janeiro,,,female,FILE Festival,alto,"Biografia do FILE informa formação em Arquitetura e Urbanismo (UFRJ), ArtScience (KABK) e mestrado pelo Art Sense(s) Lab da PXL.",,,
Luis Valdivia,Argentina,Folkwang Hochschule | Universität Salzburg | Universität Mozarteum Salzburg | Conservatorio Gilardo Gilardi,,,,,male,FILE Festival | ISEA Symposium Archives,alto,,,,
Lustre,,,,,,,male,,,Resultados localizados concentram-se no grupo/estúdio; não localizei instituição de ensino explícita para o participante com segurança. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada,lote_27; lote_33,,
Luísa Ulhoa,United States,School of Visual Arts,,,,,female,FILE Festival | SVA MFA Visual Narrative,alto,Biografia do FILE informa mestrado em Visual Narrative em Nova Iorque.,,,
Mac Cauley,United States,New York University; American Film Institute,,,,,male,https://archive.file.org.br/participantes/mac-cauley/,alta,,lote_27,,
Mads Weidner,Kingdom of Denmark,The Animation Workshop,,,,,male,https://archive.file.org.br/participantes/mads-weidner/,alta,,lote_27,,
Magali Melleu Sehn,Brazil,Universidade de São Paulo (ECA-USP),,,,,female,https://orcid.org/0000-0002-9215-7747; https://www.escavador.com/sobre/355862/magali-melleu-sehn,alta,Fonte autoral/identificadora explicita doutorado em Poéticas Visuais na USP; outras formações não foram confirmadas com a mesma clareza.,lote_27,,
Mahmoud Alkhateeb,Palestine,,,Palestine,,,,,,"Perfis públicos localizados indicam bacharelado/atuação em design, mas sem instituição de ensino nomeada com segurança. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada",lote_27; lote_33,,
Manesha Ramesh,India,New York University Abu Dhabi,,,,,female,https://nyuad.io/en/people/manesha-ramesh; https://hackathon.nyuad.nyu.edu/person/manesha-ramesh/,média,Perfil oficial do laboratório indica 'Class of 2020' em NYU Abu Dhabi; não localizei menção pública ao curso específico.,lote_27,,
Manuela Cappucci,Italy,,,,,,female,,,"Fontes localizadas descrevem percurso artístico e cursos livres, mas não nomeiam instituição formal de ensino com segurança. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada",lote_27; lote_33,,
Marc Lee,Switzerland,Zurich University of the Arts,,Knutwil,,,male,,,,,,
,,Schule für Gestaltung Basel,,,,,,,,,,,
Marcel Van Brakel,Netherlands,St. Joost School of Art & Design,,,,,male,St. Joost Graduation Show — Marcel van Brakel,alto,Página da St. Joost informa explicitamente que Marcel van Brakel se formou na instituição.,lote_27; lote_33,,
Marcell Andristyak,Hungary,Moholy-Nagy University of Art and Design | Budapest Metropolitan University,,,,,male,FILE Festival,médio,A biografia menciona formação em design de mídia na MOME e graduação na METU.,11,,
,,Moholy-Nagy University of Art and Design,,,,,,,,,,,
Marcelo Castro,Brazil,,,,,,male,,,Biografia do FILE e demais fontes abertas consultadas não nomeiam instituição de ensino; mantido em branco. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada,lote_27; lote_33,,
Marco B. Fontichiari,United States,Academy of Fine Arts of Bologna; Cineteca Bologna; University of California San Diego,,,,,male,https://file.org.br/videoarte_2018/marco-b-fontichiari/; https://sites.google.com/view/marcofontichiari/cv,alta,,lote_28,,
Marco Ferrazza,Italy,Sapienza Università di Roma; conservatory in Cagliari; conservatory in Naples,,,,,male,https://conservatoriomantova.com/it/elenco_docenti/ferrazza_marco,média,"Fonte institucional informa La Sapienza e estudos em conservatórios de Cagliari e Nápoles, sem expandir os nomes formais dessas instituições.",lote_28,,
Marco Wey,Brazil,,,,,,male,,,Biografia do FILE e outras fontes abertas consultadas não nomeiam instituição de ensino com segurança; mantido em branco. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada,lote_28; lote_33,,
Marharita Tsikhanovich,Belarus,Minsk State Fine Art College | University of West Bohemia | Ladislav Sutnar Faculty of Design and Art,,,,,female,FILE Festival,médio,A biografia explicita graduação em pintura e estudos posteriores na República Tcheca.,7,,
María Bilbao-Herrera,,The Art Institute of Fort Lauderdale,,Caracas,,,female,,,,,,
,,ELISAVA,,,,,,,,,,,
,,International Center of Photography,,,,,,,,,,,
Maria Hsu,Brazil,,,,,,female,,,Resultados localizados para Maria Hsu remetem a perfis biográficos divergentes; não foi possível desambiguar com segurança a participante correta. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada,lote_28; lote_33,,
Mariam Akbar,Bahrain,,,,,,,,,Fontes abertas consultadas não permitiram identificar instituição de ensino da participante com segurança; mantido em branco. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada,lote_28; lote_33,,
Marie Ciesielski,France,Supinfocom Rubika School,,,,,female,FILE Festival,médio,"Biografia de grupo do FILE indica graduação pela Supinfocom Rubika School, em Valenciennes, com mestrado em Digital Directing.",13,,
Marija Avramovic,France,"Faculty of Fine Arts, Belgrade; École nationale supérieure des beaux-arts, Paris; École nationale supérieure d'art et de design de Nancy",,,,,female,https://maravramovic.wixsite.com/marijaavramovic/cv; https://novembargallery.com/en/artists/marija-avramovic-3/,alta,,lote_28,,
Marine Varguy,France,Gobelins,,,,,female,https://www.stashmedia.tv/tag/marine-varguy/,média,Fonte secundária reputada vincula a artista ao filme de tese de um programa de mestrado na escola francesa Gobelins.,lote_28,,
Mark Lotterman,Kingdom of the Netherlands,,,Rotterdam,,,male,,,Biografias e fontes abertas consultadas não nomeiam instituição de ensino com segurança; mantido em branco. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada,lote_28; lote_33,,
Mark Regester,Scotland,,,,,,male,,,Biografias do FILE e demais fontes abertas consultadas não informam instituição de ensino; mantido em branco. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada,lote_28; lote_33,,
Mark Tholander,Kingdom of Denmark,"Jutland Art Academy; Imperial Academy of Arts, St. Petersburg",,,,,male,https://currentsnewmedia.org/artist/mark-tholander/; https://archive.simultan.org/authors/mark-tholander/,média,"Fontes abertas convergem sobre estudos em Aarhus e em São Petersburgo, mas sem detalhar titulação.",lote_28,,
Markus Magnusson,Sweden,,,,,,male,,,"Fontes localizadas mencionam apenas passagem por “media school”, sem nomear instituição com segurança; mantido em branco. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada",lote_28; lote_33,,
Marleine van der Werf,Kingdom of the Netherlands,St. Joost School of Art & Design; Dutch Film Academy,,Groningen,,,female,https://filmforward.nl/en/participant/marleine-van-der-werf/; https://www.marleinevdwerf.com/bio-c3jm,alta,,lote_28,,
